case,phase,start_year,withdrawal,path_order,portfolio,net_operating_cash_delta_vs_rr1,deaths_delta_vs_rr1,book_wipeouts_delta_vs_rr1,days_empty_after_first_activation_delta_vs_rr1,max_same_signal_deaths_delta_vs_rr1,possible_20d_death_cluster_delta_vs_rr1,half_loss_20d_episodes_min5_delta_vs_rr1
operating__2020__maximum__mae_first__near,operating,2020,maximum,mae_first,near,28448.0,-12,0,0.0,-2,-4,-1
operating__2020__maximum__mae_first__modest,operating,2020,maximum,mae_first,modest,38631.92,-2,-2,-0.3088,1,-1,0
operating__2020__maximum__mae_first__four,operating,2020,maximum,mae_first,four,50028.13,-9,-2,-0.3088,-3,-5,-3
operating__2020__maximum__mae_first__wide,operating,2020,maximum,mae_first,wide,116859.74,-15,-2,-0.3088,-4,-6,-5
isolation__2023__maximum__mae_first__rr_0.50,isolation,2023,maximum,mae_first,rr_0.50,-353880.0,20,1,1229.9171,20,20,1
isolation__2023__maximum__mae_first__rr_0.75,isolation,2023,maximum,mae_first,rr_0.75,-48587.0,0,0,0.0,0,0,0
isolation__2023__maximum__mae_first__rr_1.00,isolation,2023,maximum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
isolation__2023__maximum__mae_first__rr_1.25,isolation,2023,maximum,mae_first,rr_1.25,26363.0,0,0,0.0,0,0,0
isolation__2023__maximum__mae_first__rr_1.50,isolation,2023,maximum,mae_first,rr_1.50,65818.0,0,0,0.0,0,0,0
isolation__2023__maximum__mae_first__rr_2.00,isolation,2023,maximum,mae_first,rr_2.00,55238.0,0,0,0.0,0,0,0
isolation__2023__maximum__mae_first__rr_2.50,isolation,2023,maximum,mae_first,rr_2.50,159094.4,0,0,0.0,0,0,0
isolation__2023__maximum__mae_first__rr_3.00,isolation,2023,maximum,mae_first,rr_3.00,131333.0,0,0,0.0,0,0,0
isolation__2023__maximum__mae_first__rr_3.50,isolation,2023,maximum,mae_first,rr_3.50,114999.0,0,0,0.0,0,0,0
isolation__2023__maximum__mae_first__near,isolation,2023,maximum,mae_first,near,-11112.0,0,0,0.0,0,0,0
isolation__2023__maximum__mae_first__modest,isolation,2023,maximum,mae_first,modest,-144031.0,10,0,0.0,10,10,1
isolation__2023__maximum__mae_first__four,isolation,2023,maximum,mae_first,four,-58206.0,5,0,0.0,5,5,0
isolation__2023__maximum__mae_first__wide,isolation,2023,maximum,mae_first,wide,-3492.15,5,0,0.0,5,5,0
operating__2023__maximum__mae_first__rr_0.50,operating,2023,maximum,mae_first,rr_0.50,20647.0,-3,0,27.322,1,0,0
operating__2023__maximum__mae_first__rr_0.75,operating,2023,maximum,mae_first,rr_0.75,1600.7,1,0,5.0007,1,0,0
operating__2023__maximum__mae_first__rr_1.00,operating,2023,maximum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
operating__2023__maximum__mae_first__rr_1.25,operating,2023,maximum,mae_first,rr_1.25,13446.8,0,0,3.9257,-3,0,0
operating__2023__maximum__mae_first__rr_1.50,operating,2023,maximum,mae_first,rr_1.50,61003.0,3,0,10.8319,0,0,0
operating__2023__maximum__mae_first__rr_2.00,operating,2023,maximum,mae_first,rr_2.00,64849.7,6,-1,-42.2197,-3,0,0
operating__2023__maximum__mae_first__rr_2.50,operating,2023,maximum,mae_first,rr_2.50,126235.85,-2,-1,-42.2197,-3,-2,0
operating__2023__maximum__mae_first__rr_3.00,operating,2023,maximum,mae_first,rr_3.00,124373.8,1,-1,-42.2197,-2,0,0
operating__2023__maximum__mae_first__rr_3.50,operating,2023,maximum,mae_first,rr_3.50,63284.05,17,0,3.9257,-2,0,0
operating__2023__maximum__mae_first__near,operating,2023,maximum,mae_first,near,16837.7,3,0,-32.9993,-1,0,0
