case,at,live_before_final_loss,max_live_ever_before,max_live_preceding_20_calendar_days,reopened_at,days_until_reopening
primary__operating__2021__mae_first__rr_2.83,2022-01-07T23:30:00,2,7,4,2022-01-12T00:00:00,4.020833333333333
primary__operating__2021__mae_first__rr_2.83,2022-06-17T03:02:40,1,8,4,2022-07-07T00:00:00,19.873148148148147
primary__operating__2021__mae_first__rr_2.87,2021-09-28T21:13:40,6,6,6,2021-09-29T00:00:00,0.11550925925925926
primary__operating__2021__mae_first__rr_2.87,2022-01-07T23:30:00,2,7,4,2022-01-12T00:00:00,4.020833333333333
primary__operating__2021__mae_first__rr_2.87,2022-07-01T16:36:20,1,8,4,2022-07-07T00:00:00,5.308101851851852
primary__operating__2021__mae_first__rr_3.03,2021-02-26T01:58:40,1,1,1,2021-02-27T00:00:00,0.9175925925925926
primary__operating__2021__mae_first__rr_3.03,2021-09-28T21:13:40,5,5,5,2021-09-29T00:00:00,0.11550925925925926
primary__operating__2021__mae_first__rr_3.03,2022-01-07T23:30:00,2,6,4,2022-01-12T00:00:00,4.020833333333333
primary__operating__2021__mae_first__rr_3.17,2021-02-26T01:58:40,1,1,1,2021-02-27T00:00:00,0.9175925925925926
primary__operating__2021__mae_first__rr_3.17,2021-09-28T21:13:40,5,5,5,2021-09-29T00:00:00,0.11550925925925926
primary__operating__2021__mae_first__rr_3.17,2022-01-10T13:23:40,2,6,4,2022-01-12T00:00:00,1.441898148148148
primary__operating__2021__mae_first__rr_3.18,2021-02-26T01:58:40,1,1,1,2021-02-27T00:00:00,0.9175925925925926
primary__operating__2021__mae_first__rr_3.18,2021-09-28T21:13:40,5,5,5,2021-09-29T00:00:00,0.11550925925925926
primary__operating__2021__mae_first__rr_3.18,2022-01-10T13:23:40,2,6,4,2022-01-12T00:00:00,1.441898148148148
primary__operating__2021__mae_first__rr_3.25,2021-02-26T01:58:40,1,1,1,2021-02-27T00:00:00,0.9175925925925926
primary__operating__2021__mae_first__rr_3.25,2021-06-21T11:00:00,1,3,1,2021-07-03T00:00:00,11.541666666666666
primary__operating__2021__mae_first__rr_3.25,2021-09-28T21:13:40,5,5,5,2021-09-29T00:00:00,0.11550925925925926
primary__operating__2021__mae_first__rr_3.34,2021-02-26T01:58:40,1,1,1,2021-02-27T00:00:00,0.9175925925925926
primary__operating__2021__mae_first__rr_3.34,2021-09-28T22:49:40,1,5,5,2021-09-29T00:00:00,0.04884259259259259
primary__operating__2021__mae_first__rr_3.50,2021-02-26T01:58:40,1,1,1,2021-02-27T00:00:00,0.9175925925925926
primary__operating__2021__mae_first__rr_3.50,2022-01-10T23:00:00,2,6,4,2022-01-12T00:00:00,1.0416666666666667
primary__operating__2021__mae_first__ladder4,2022-01-10T20:30:00,1,8,8,2022-01-12T00:00:00,1.1458333333333333
