case,portfolio,start_year,permutation,assignment_order,accounts,deaths,alive,net_operating_cash,receipts,acquisition_costs,retained_equity,copies,mean_daily_alive,book_wipeouts,days_empty_after_first_activation,continuous_after_activation,first_activation,prior_ledger_reproduced,tape_first_entry,tape_last_exit
cross_triple__2020__p04,cross_triple,2020,4,GG:1.25;RR:1.00;RR:0.50,88,68,20,315375.0,332150.0,16775.0,142573.2,131699,13.204107292539815,1,0.0856,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
cross_triple__2020__p05,cross_triple,2020,5,RR:1.00;RR:0.50;GG:1.25,86,66,20,300607.0,317000.0,16393.0,143267.3,130485,13.069572506286672,2,0.3088,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
cross_triple__2020__p06,cross_triple,2020,6,RR:1.00;GG:1.25;RR:0.50,85,65,20,319528.0,335400.0,15872.0,142768.85,137225,13.774098910310142,2,0.3088,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
cross_triple__2021__p01,cross_triple,2021,1,RR:0.50;GG:1.25;RR:1.00,73,53,20,284420.0,298000.0,13580.0,142740.35,111917,13.173762376237624,1,33.0208,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
cross_triple__2021__p02,cross_triple,2021,2,RR:0.50;RR:1.00;GG:1.25,68,48,20,285979.0,299000.0,13021.0,142424.25,113021,13.338613861386138,0,0.0,True,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
cross_triple__2021__p03,cross_triple,2021,3,GG:1.25;RR:0.50;RR:1.00,66,46,20,285092.0,297500.0,12408.0,142648.9,107690,12.684158415841583,3,60.7282,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
cross_triple__2021__p04,cross_triple,2021,4,GG:1.25;RR:1.00;RR:0.50,66,46,20,275559.0,288000.0,12441.0,141297.95,103635,12.278217821782178,3,60.7282,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
cross_triple__2021__p05,cross_triple,2021,5,RR:1.00;RR:0.50;GG:1.25,73,53,20,294717.0,308000.0,13283.0,143227.0,116370,13.759405940594059,0,0.0,True,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
cross_triple__2021__p06,cross_triple,2021,6,RR:1.00;GG:1.25;RR:0.50,74,54,20,280597.0,294500.0,13903.0,142732.25,108068,12.815346534653465,1,45.0461,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
cross_triple__2022__p01,cross_triple,2022,1,RR:0.50;GG:1.25;RR:1.00,52,33,19,251601.0,261500.0,9899.0,134782.05,89741,12.905740181268882,0,0.0,True,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
cross_triple__2022__p02,cross_triple,2022,2,RR:0.50;RR:1.00;GG:1.25,46,27,19,248747.0,257500.0,8753.0,136605.3,91666,13.203021148036253,0,0.0,True,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
cross_triple__2022__p03,cross_triple,2022,3,GG:1.25;RR:0.50;RR:1.00,57,38,19,250745.0,261500.0,10755.0,135757.1,90988,13.090634441087614,2,61.4065,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
cross_triple__2022__p04,cross_triple,2022,4,GG:1.25;RR:1.00;RR:0.50,46,26,20,252280.0,261000.0,8720.0,141720.6,88677,12.844108761329306,2,55.8956,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
cross_triple__2022__p05,cross_triple,2022,5,RR:1.00;RR:0.50;GG:1.25,48,28,20,251964.0,261000.0,9036.0,142239.6,91737,13.265861027190333,1,55.3829,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
cross_triple__2022__p06,cross_triple,2022,6,RR:1.00;GG:1.25;RR:0.50,54,35,19,247186.0,257500.0,10314.0,136290.9,89493,12.970392749244713,1,55.3829,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
cross_triple__2023__p01,cross_triple,2023,1,RR:0.50;GG:1.25;RR:1.00,44,26,18,163030.0,171500.0,8470.0,129319.4,65873,12.187596899224806,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
cross_triple__2023__p02,cross_triple,2023,2,RR:0.50;RR:1.00;GG:1.25,42,24,18,160511.0,168500.0,7989.0,131371.55,66249,12.275968992248062,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
