months,budget,gap,left,right,shared,left_only,right_only,reciprocal,jaccard
1,6800,20,0.75,2.50,0,0,0,False,
1,6800,20,0.75,2.75,0,0,0,False,
1,6800,20,0.75,3.00,0,0,0,False,
1,6800,20,0.75,3.25,0,0,0,False,
1,6800,20,0.75,3.50,0,0,0,False,
1,6800,20,1.00,1.25,0,0,0,False,
1,6800,20,1.00,1.50,0,0,0,False,
1,6800,20,1.00,1.75,0,0,0,False,
1,6800,20,1.00,2.00,0,0,0,False,
1,6800,20,1.00,2.25,0,0,0,False,
1,6800,20,1.00,2.50,0,0,0,False,
1,6800,20,1.00,2.75,0,0,0,False,
1,6800,20,1.00,3.00,0,0,0,False,
1,6800,20,1.00,3.25,0,0,0,False,
1,6800,20,1.00,3.50,0,0,0,False,
1,6800,20,1.25,1.50,0,0,0,False,
1,6800,20,1.25,1.75,0,0,0,False,
1,6800,20,1.25,2.00,0,0,0,False,
1,6800,20,1.25,2.25,0,0,0,False,
1,6800,20,1.25,2.50,0,0,0,False,
1,6800,20,1.25,2.75,0,0,0,False,
1,6800,20,1.25,3.00,0,0,0,False,
1,6800,20,1.25,3.25,0,0,0,False,
1,6800,20,1.25,3.50,0,0,0,False,
1,6800,20,1.50,1.75,0,0,0,False,
1,6800,20,1.50,2.00,0,0,0,False,
1,6800,20,1.50,2.25,0,0,0,False,
1,6800,20,1.50,2.50,0,0,0,False,
1,6800,20,1.50,2.75,0,0,0,False,
1,6800,20,1.50,3.00,0,0,0,False,
1,6800,20,1.50,3.25,0,0,0,False,
1,6800,20,1.50,3.50,0,0,0,False,
1,6800,20,1.75,2.00,0,0,0,False,
1,6800,20,1.75,2.25,0,0,0,False,
1,6800,20,1.75,2.50,0,0,0,False,
1,6800,20,1.75,2.75,0,0,0,False,
1,6800,20,1.75,3.00,0,0,0,False,
1,6800,20,1.75,3.25,0,0,0,False,
1,6800,20,1.75,3.50,0,0,0,False,
1,6800,20,2.00,2.25,0,0,0,False,
1,6800,20,2.00,2.50,0,0,0,False,
1,6800,20,2.00,2.75,0,0,0,False,
1,6800,20,2.00,3.00,0,0,0,False,
1,6800,20,2.00,3.25,0,0,0,False,
1,6800,20,2.00,3.50,0,0,0,False,
1,6800,20,2.25,2.50,0,0,0,False,
1,6800,20,2.25,2.75,0,0,0,False,
1,6800,20,2.25,3.00,0,0,0,False,
1,6800,20,2.25,3.25,0,0,0,False,
1,6800,20,2.25,3.50,0,0,0,False,
1,6800,20,2.50,2.75,0,0,0,False,
1,6800,20,2.50,3.00,0,0,0,False,
1,6800,20,2.50,3.25,0,0,0,False,
1,6800,20,2.50,3.50,0,0,0,False,
1,6800,20,2.75,3.00,0,0,0,False,
1,6800,20,2.75,3.25,0,0,0,False,
1,6800,20,2.75,3.50,0,0,0,False,
1,6800,20,3.00,3.25,0,0,0,False,
1,6800,20,3.00,3.50,0,0,0,False,
1,6800,20,3.25,3.50,0,0,0,False,
1,6800,40,0.50,0.75,0,0,0,False,
1,6800,40,0.50,1.00,0,0,0,False,
1,6800,40,0.50,1.25,0,0,0,False,
1,6800,40,0.50,1.50,0,0,0,False,
1,6800,40,0.50,1.75,0,0,0,False,
1,6800,40,0.50,2.00,0,0,0,False,
1,6800,40,0.50,2.25,0,0,0,False,
1,6800,40,0.50,2.50,0,0,0,False,
1,6800,40,0.50,2.75,0,0,0,False,
1,6800,40,0.50,3.00,0,0,0,False,
1,6800,40,0.50,3.25,0,0,0,False,
1,6800,40,0.50,3.50,0,0,0,False,
1,6800,40,0.75,1.00,0,0,0,False,
1,6800,40,0.75,1.25,0,0,0,False,
1,6800,40,0.75,1.50,0,0,0,False,
1,6800,40,0.75,1.75,0,0,0,False,
1,6800,40,0.75,2.00,0,0,0,False,
1,6800,40,0.75,2.25,0,0,0,False,
1,6800,40,0.75,2.50,0,0,0,False,
1,6800,40,0.75,2.75,0,0,0,False,
1,6800,40,0.75,3.00,0,0,0,False,
1,6800,40,0.75,3.25,0,0,0,False,
1,6800,40,0.75,3.50,0,0,0,False,
1,6800,40,1.00,1.25,0,0,0,False,
1,6800,40,1.00,1.50,0,0,0,False,
1,6800,40,1.00,1.75,0,0,0,False,
1,6800,40,1.00,2.00,0,0,0,False,
1,6800,40,1.00,2.25,0,0,0,False,
1,6800,40,1.00,2.50,0,0,0,False,
1,6800,40,1.00,2.75,0,0,0,False,
1,6800,40,1.00,3.00,0,0,0,False,
1,6800,40,1.00,3.25,0,0,0,False,
1,6800,40,1.00,3.50,0,0,0,False,
1,6800,40,1.25,1.50,0,0,0,False,
1,6800,40,1.25,1.75,0,0,0,False,
1,6800,40,1.25,2.00,0,0,0,False,
1,6800,40,1.25,2.25,0,0,0,False,
1,6800,40,1.25,2.50,0,0,0,False,
1,6800,40,1.25,2.75,0,0,0,False,
1,6800,40,1.25,3.00,0,0,0,False,
1,6800,40,1.25,3.25,0,0,0,False,
1,6800,40,1.25,3.50,0,0,0,False,
1,6800,40,1.50,1.75,0,0,0,False,
1,6800,40,1.50,2.00,0,0,0,False,
1,6800,40,1.50,2.25,0,0,0,False,
1,6800,40,1.50,2.50,0,0,0,False,
1,6800,40,1.50,2.75,0,0,0,False,
1,6800,40,1.50,3.00,0,0,0,False,
1,6800,40,1.50,3.25,0,0,0,False,
1,6800,40,1.50,3.50,0,0,0,False,
1,6800,40,1.75,2.00,0,0,0,False,
1,6800,40,1.75,2.25,0,0,0,False,
1,6800,40,1.75,2.50,0,0,0,False,
1,6800,40,1.75,2.75,0,0,0,False,
1,6800,40,1.75,3.00,0,0,0,False,
1,6800,40,1.75,3.25,0,0,0,False,
1,6800,40,1.75,3.50,0,0,0,False,
1,6800,40,2.00,2.25,0,0,0,False,
1,6800,40,2.00,2.50,0,0,0,False,
1,6800,40,2.00,2.75,0,0,0,False,
1,6800,40,2.00,3.00,0,0,0,False,
1,6800,40,2.00,3.25,0,0,0,False,
1,6800,40,2.00,3.50,0,0,0,False,
1,6800,40,2.25,2.50,0,0,0,False,
1,6800,40,2.25,2.75,0,0,0,False,
1,6800,40,2.25,3.00,0,0,0,False,
1,6800,40,2.25,3.25,0,0,0,False,
1,6800,40,2.25,3.50,0,0,0,False,
1,6800,40,2.50,2.75,0,0,0,False,
1,6800,40,2.50,3.00,0,0,0,False,
1,6800,40,2.50,3.25,0,0,0,False,
1,6800,40,2.50,3.50,0,0,0,False,
1,6800,40,2.75,3.00,0,0,0,False,
1,6800,40,2.75,3.25,0,0,0,False,
1,6800,40,2.75,3.50,0,0,0,False,
1,6800,40,3.00,3.25,0,0,0,False,
1,6800,40,3.00,3.50,0,0,0,False,
1,6800,40,3.25,3.50,0,0,0,False,
3,1500,5,0.50,0.75,7,2,2,True,0.6363636363636364
3,1500,5,0.50,1.00,5,4,1,True,0.5
3,1500,5,0.50,1.25,5,4,0,False,0.5555555555555556
3,1500,5,0.50,1.50,5,4,0,False,0.5555555555555556
3,1500,5,0.50,1.75,6,3,1,True,0.6
3,1500,5,0.50,2.00,7,2,1,True,0.7
3,1500,5,0.50,2.25,7,2,1,True,0.7
3,1500,5,0.50,2.50,8,1,1,True,0.8
3,1500,5,0.50,2.75,8,1,1,True,0.8
3,1500,5,0.50,3.00,7,2,1,True,0.7
3,1500,5,0.50,3.25,6,3,1,True,0.6
3,1500,5,0.50,3.50,6,3,1,True,0.6
